"Points:0","Points:1","Points:2"
-0.12892,-0.015494,-0.01365
-0.13015,0.00056678,-0.00041334
-0.10643,-0.03016,-0.014692
-0.12038,-0.023854,-0.020219
-0.10763,-0.013506,-0.0049431
-0.13833,-0.048625,-0.026038
-0.13481,0.0006916,-0.00032068
-0.11517,-0.059127,-0.0083028
-0.12676,-0.018419,-0.0085898
-0.12465,-0.035977,-0.0045913
-0.12493,-0.062406,-0.011801
-0.14088,-0.0026627,-0.0012344
-0.12751,-0.034621,-0.025118
-0.13091,-0.0007796,-0.00064227
-0.11624,-0.0025643,-0.00084086
-0.13294,-0.032286,-0.05625
-0.11209,-0.040666,-0.0128
-0.14374,-0.039474,-0.010452
-0.13608,-0.020239,-0.030516
-0.13924,-0.062949,-0.0051258
-0.14418,-0.018101,-0.053444
-0.13953,-0.039434,-0.0016598
-0.13099,-0.0029245,-0.0044502
-0.1323,-0.014965,-0.017776
-0.14051,-0.016148,-0.015551
-0.13596,-0.023063,-0.038088
-0.14114,-0.0094222,-0.0065412
-0.1235,-0.013941,-0.017426
-0.12973,-0.010427,-0.023588
-0.13313,-0.0082691,-0.028489
-0.13798,-0.00083073,-0.046986
-0.13851,-0.0076224,-0.014057
-0.1429,-0.024749,-0.052992
-0.13099,8.2748e-05,-0.00051098
-0.14248,-0.0048493,-0.04543
-0.14249,-0.019211,-0.0099513
-0.13581,-0.028932,-0.043477
-0.12852,-0.043764,-0.0087459
-0.13845,-0.016887,-0.013563
-0.13614,-0.0067991,-0.0023325
-0.12638,-0.01003,-0.0054476
-0.13044,-0.020965,-0.061433
-0.11249,-0.0031431,-0.051516
-0.1147,-0.00049548,-0.015732
-0.13776,-0.0059004,-0.0070328
-0.11906,0.00067825,0.00050624
-0.12662,-0.012942,-0.015617
-0.11841,-0.00058381,-0.0016589
-0.1471,-0.011292,-0.069656
-0.13639,-0.0067944,-0.0050418
-0.14462,-0.044542,-0.054815
-0.14625,-0.031894,-0.04357
-0.119,-0.04322,-0.026906
-0.12507,-0.016143,-0.00051467
-0.14533,-0.050228,-0.013169
-0.13917,-0.055334,-0.022313
-0.14346,-0.034834,-0.048352
-0.13028,-0.065203,-0.0056941
-0.13741,-0.020731,-0.0029236
-0.1107,-0.00029726,5.8471e-05
-0.14027,-0.02385,-0.015014
-0.11867,-0.017378,-0.033432
-0.14839,-0.032682,-0.056669
-0.11407,-0.012215,-0.0090766
-0.12237,-0.00031089,-0.030776
-0.12173,-0.00035292,0.0003594
-0.14059,0.00035193,-0.00089396
-0.13311,-0.029695,-0.060013
-0.11571,-0.0208,-0.036765
-0.10791,-0.010274,-0.0106
-0.12699,-0.00076152,-0.014134
-0.12687,-0.040671,-0.005062
-0.1419,-0.022632,-0.037257
-0.13549,-0.021792,-0.00907
-0.11876,-0.012079,-0.017492
-0.14158,-0.047561,-0.016869
-0.14337,-0.043369,-0.0035332
-0.14175,-0.057188,-0.018532
-0.14064,0.0002189,-0.0015033
-0.121,-0.0038905,-0.00044008
-0.14206,-0.031576,-0.055532
-0.12627,-0.032889,-0.002788
-0.14067,-0.024185,-0.0081419
-0.11486,-0.00034985,-0.018753
-0.14574,-0.069884,-0.010227
-0.12989,-0.0012592,-0.0060414
-0.12104,-0.001379,-0.0013485
-0.12342,-0.007908,-0.0019798
-0.14701,-0.020549,-0.057316
-0.11254,-0.03381,-0.030345
-0.11959,-0.021103,-0.033741
-0.13347,-0.014106,-0.0079523
-0.14166,-0.0069775,-0.014772
-0.1257,-0.0076447,-0.014634
-0.13161,-0.044424,-0.0039717
-0.13479,-0.019428,-0.0071914
-0.10869,-0.0038511,-0.0052637
-0.14712,-0.039014,-0.020711
-0.14819,-0.024606,-0.064738
